,ADM0_A3,deathRate,country,reputation,originalText,translatedText,reference
0,ATG,0.0,,,,,
1,FSM,0.16,,,,,
2,MDV,1.63,,,,,
3,KIR,1.92,,,,,
4,EGY,10.1,,,,,
5,UKR,10.2,,,,,
6,ROU,10.29,,,,,
7,OMN,10.59,,,,,
8,SYC,11.26,,,,,
9,IDN,11.33,,,,,
10,UZB,11.68,,,,,
11,ALB,11.7,,,,,
12,TLS,11.9,,,,,
13,RUS,12.0,俄羅斯,,"Правостороннее. Имеет в основном организованный и упорядоченный характер.
Случаи ДТП с тяжелыми последствиями редки.
Много мотоциклистов с хаотичным и резким стилем вождения.
На Тайване запрещена эксплуатация автомобилей с правым рулем.","右手。 它大多是有組織和有序的。
造成嚴重後果的事故很少見。
許多摩托車手的駕駛風格混亂而突然。
在台灣，右駕車輛是被禁止的。",https://www.kdmid.ru/docs/taiwan/information-about-the-country/
14,PHL,12.04,,,,,
15,MUS,12.23,,,,,
16,GEO,12.41,,,,,
17,PNG,12.59,,,,,
18,KGZ,12.66,,,,,
19,USA,12.67,美國,,"Road Conditions and Safety: Road conditions, lighting, and traffic safety in cities and on major highways are generally good. Roads in major cities are generally congested. Be alert for the many scooters and motorcycles that weave in and out of traffic. Motor scooters are common throughout the island. Be alert for scooters when stepping out of public buses or exiting a car. Exercise caution when crossing streets because many drivers do not respect the pedestrian's right of way. Be especially cautious when driving on mountain roads, which are typically narrow, winding, and poorly banked, and which may be impassable after heavy rains. For example, Taiwan’s central cross-island highway is meandering and often has poor visibility. Exercise caution when driving on highways.
Public Transportation: Public transportation is cheap, convenient, and generally safe. Taxis and buses may swerve to the side of the road to pick up passengers with little notice or regard for other vehicles.","道路狀況和安全：城市和主要高速公路的道路狀況、照明和交通安全通常都很好。 大城市的道路普遍擁堵。 警惕穿梭在車流中的許多踏板車和摩托車。 小型摩托車在整個島上都很常見。 走出公共汽車或離開汽車時，請注意踏板車。 過馬路時要小心，因為許多司機不尊重行人的通行權。 在山路上行駛時要特別小心，這些道路通常狹窄、曲折、坡度不佳，大雨過後可能無法通行。 例如，台灣的中部跨島公路蜿蜒曲折，經常能見度很差。 在高速公路上行駛時要小心。
公共交通：公共交通便宜、方便，而且通常很安全。 出租車和公共汽車可能會突然轉向路邊接載乘客，而幾乎沒有註意到或不理會其他車輛。",https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Taiwan.html
20,KAZ,12.68,,,,,
21,MEX,12.78,,,,,
22,PAK,13.01,,,,,
23,WSM,13.03,,,,,
24,TKM,13.47,,,,,
25,BIH,13.51,,,,,
26,FJI,13.51,,,,,
27,PER,13.58,,,,,
28,PAN,13.92,,,,,
29,ARG,14.06,,,,,
30,CRI,14.78,,,,,
31,URY,14.78,,,,,
32,VUT,14.86,,,,,
33,CHL,14.91,,,,,
34,SYR,14.94,,,,,
35,JAM,15.06,,,,,
36,SUR,15.32,,,,,
37,BGD,15.35,,,,,
38,COL,15.42,,,,,
39,KWT,15.43,,,,,
40,IND,15.56,,,,,
41,TJK,15.67,,,,,
42,AFG,15.86,,,,,
43,BRA,16.05,,,,,
44,HND,16.13,,,,,
45,BTN,16.18,,,,,
46,NPL,16.27,,,,,
47,LBN,16.44,,,,,
48,TUN,16.49,,,,,
49,SLB,16.52,,,,,
50,NIC,16.94,,,,,
51,MAR,16.96,,,,,
52,JOR,17.0,,,,,
53,CHN,17.36,,,,,
54,LAO,17.87,,,,,
55,HTI,18.77,,,,,
56,KHM,19.55,,,,,
57,LKA,19.69,,,,,
58,ARM,19.95,,,,,
59,ISL,2.05,,,,,
60,SGP,2.09,,,,,
61,NOR,2.12,,,,,
62,CHE,2.25,,,,,
63,ECU,20.09,,,,,
64,MMR,20.36,,,,,
65,ZMB,20.46,,,,,
66,NGA,20.75,,,,,
67,SLV,20.87,,,,,
68,DZA,20.9,,,,,
69,MNG,21.04,,,,,
70,BOL,21.11,,,,,
71,LBY,21.3,,,,,
72,IRN,21.47,,,,,
73,PRY,22.03,,,,,
74,ZAF,22.22,,,,,
75,GUY,22.34,,,,,
76,MYS,22.48,,,,,
77,BLZ,22.56,,,,,
78,MLI,22.71,,,,,
79,GTM,22.9,,,,,
80,DJI,23.5,,,,,
81,SEN,23.51,,,,,
82,GAB,23.86,,,,,
83,CIV,24.12,,,,,
84,PRK,24.19,,,,,
85,NER,25.51,,,,,
86,MRT,25.6,,,,,
87,GHA,25.67,,,,,
88,AGO,26.13,,,,,
89,BWA,26.41,,,,,
90,COM,26.57,,,,,
91,SDN,26.76,,,,,
92,CPV,26.78,,,,,
93,BEN,26.8,,,,,
94,GNQ,27.17,,,,,
95,IRQ,27.29,,,,,
96,SOM,27.4,,,,,
97,STP,27.9,,,,,
98,ETH,28.16,,,,,
99,KEN,28.31,,,,,
100,TGO,28.65,,,,,
